protocol_id,dataset,model_version,training_scope,precision,recall,threshold
A,main_holdout,v8_semantic_main,main_only,0.17476851851851852,1.0,0.008869096610999775
A,main_holdout,v8_semantic_main,main_only,0.17527568195008705,1.0,0.008918053203391618
A,main_holdout,v8_semantic_main,main_only,0.17578579743888242,1.0,0.008985959887138656
A,main_holdout,v8_semantic_main,main_only,0.17629889083479275,1.0,0.009060343358264505
A,main_holdout,v8_semantic_main,main_only,0.17681498829039813,1.0,0.009143637025234944
A,main_holdout,v8_semantic_main,main_only,0.17733411626541398,1.0,0.00922024844762505
A,main_holdout,v8_semantic_main,main_only,0.17785630153121318,1.0,0.009266116147087491
A,main_holdout,v8_semantic_main,main_only,0.17838157117542824,1.0,0.009343245601443706
A,main_holdout,v8_semantic_main,main_only,0.17890995260663506,1.0,0.00940117230846937
A,main_holdout,v8_semantic_main,main_only,0.17944147355912063,1.0,0.009521538035722574
A,main_holdout,v8_semantic_main,main_only,0.1799761620977354,1.0,0.009576589442285083
A,main_holdout,v8_semantic_main,main_only,0.18051404662283324,1.0,0.009651956675980436
A,main_holdout,v8_semantic_main,main_only,0.18105515587529977,1.0,0.009716331434435264
A,main_holdout,v8_semantic_main,main_only,0.18159951894167167,1.0,0.009789758234559074
A,main_holdout,v8_semantic_main,main_only,0.18214716525934863,1.0,0.009879418816445969
A,main_holdout,v8_semantic_main,main_only,0.18269812462189958,1.0,0.009936157393154819
A,main_holdout,v8_semantic_main,main_only,0.18325242718446602,1.0,0.010017192603740118
A,main_holdout,v8_semantic_main,main_only,0.18381010346926355,1.0,0.010090023797946799
A,main_holdout,v8_semantic_main,main_only,0.18437118437118438,1.0,0.010155618403979005
A,main_holdout,v8_semantic_main,main_only,0.18493570116350275,1.0,0.01024487925536123
A,main_holdout,v8_semantic_main,main_only,0.1855036855036855,1.0,0.01030236239612763
A,main_holdout,v8_semantic_main,main_only,0.1860751694393099,1.0,0.010419019391814069
A,main_holdout,v8_semantic_main,main_only,0.18665018541409148,1.0,0.010468426323606953
A,main_holdout,v8_semantic_main,main_only,0.18722876627402354,1.0,0.010562039041012166
A,main_holdout,v8_semantic_main,main_only,0.18781094527363185,1.0,0.010626850024802858
A,main_holdout,v8_semantic_main,main_only,0.1883967560823456,1.0,0.010741623512730596
A,main_holdout,v8_semantic_main,main_only,0.18898623279098872,1.0,0.010809923585517148
A,main_holdout,v8_semantic_main,main_only,0.18957940991839298,1.0,0.010930867204598176
A,main_holdout,v8_semantic_main,main_only,0.190176322418136,1.0,0.011002172244001783
